Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
water	tot_phosp	total phosphorus	"Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus"	measurement value	{float} {unit}	0.03 milligram per liter	X	"micromole per liter, milligram per liter, parts per million"	1	MIXS:0000117	
air	wind_speed	wind speed	Speed of wind measured at the time of sampling	measurement value	{float} {unit}	21 kilometer per hour	X	"meter per second, kilometer per hour"	1	MIXS:0000118	
food-farm environment	wind_speed	wind speed	speed of wind measured at the time of sampling.	measurement value	{float} {unit}	1.6 kilometers per hour	X	kilometer per hour	1	MIXS:0000118	
microbial mat/biofilm	diss_oxygen	dissolved oxygen	Concentration of dissolved oxygen	measurement value	{float} {unit}	175 micromole per kilogram	X	"micromole per kilogram, milligram per liter"	1	MIXS:0000119	
miscellaneous natural or artificial environment	diss_oxygen	dissolved oxygen	Concentration of dissolved oxygen	measurement value	{float} {unit}	175 micromole per kilogram	X	"micromole per kilogram, milligram per liter"	1	MIXS:0000119	
sediment	diss_oxygen	dissolved oxygen	Concentration of dissolved oxygen	measurement value	{float} {unit}	175 micromole per kilogram	X	"micromole per kilogram, milligram per liter"	1	MIXS:0000119	
water	diss_oxygen	dissolved oxygen	Concentration of dissolved oxygen	measurement value	{float} {unit}	175 micromole per kilogram	X	"micromole per kilogram, milligram per liter"	1	MIXS:0000119	
hydrocarbon resources-cores	tan	total acid number	Total Acid Number (TAN) is a measurement of acidity that is determined by the amount of potassium hydroxide in milligrams that is needed to neutralize the acids in one gram of oil. It is an important quality measurement of crude oil. (source: https://en.wikipedia.org/wiki/Total_acid_number)	measurement value	{float} {unit}		C	milligram per liter	1	MIXS:0000120	
hydrocarbon resources-fluids/swabs	tan	total acid number	Total Acid Number (TAN) is a measurement of acidity that is determined by the amount of potassium hydroxide in milligrams that is needed to neutralize the acids in one gram of oil. It is an important quality measurement of crude oil. (source: https://en.wikipedia.org/wiki/Total_acid_number)	measurement value	{float} {unit}		C	milligram per liter	1	MIXS:0000120	
built environment	rel_air_humidity	relative air humidity	"Partial vapor and air pressure, density of the vapor and air, or by the actual mass of the vapor and air"	measurement value	{float} {unit}	80%	M	percentage	1	MIXS:0000121	
built environment	abs_air_humidity	absolute air humidity	Actual mass of water vapor - mh20 - present in the air water vapor mixture	measurement value	{float} {unit}	9 gram per gram	M	"gram per gram, kilogram per kilogram, kilogram, pound"	1	MIXS:0000122	
built environment	surf_humidity	surface humidity	Surfaces: water activity as a function of air and material moisture	measurement value	{float} {unit}	10%	E	percentage	1	MIXS:0000123	
built environment	air_temp	air temperature	Temperature of the air at the time of sampling	measurement value	{float} {unit}	20 degree Celsius	M	degree Celsius	1	MIXS:0000124	
food-food production facility	air_temp	air temperature	Temperature of the air at the time of sampling.	measurement value	{float} {unit}	4 degree Celsius	X	degree Celsius	1	MIXS:0000124	
built environment	surf_temp	surface temperature	Temperature of the surface at the time of sampling	measurement value	{float} {unit}	15 degree Celsius	E	degree Celsius	1	MIXS:0000125	
hydrocarbon resources-cores	viscosity	viscosity	A measure of oil's resistance to gradual deformation by shear stress or tensile stress (e.g. 3.5 cp; 100 °C)	measurement value;measurement value	{float} {unit};{float} {unit}		X	cP at degree Celsius	1	MIXS:0000126	
hydrocarbon resources-fluids/swabs	viscosity	viscosity	A measure of oil's resistance to gradual deformation by shear stress or tensile stress (e.g. 3.5 cp; 100 °C)	measurement value;measurement value	{float} {unit};{float} {unit}		X	cP at degree Celsius	1	MIXS:0000126	
hydrocarbon resources-cores	pour_point	pour point	"Temperature at which a liquid becomes semi solid and loses its flow characteristics. In crude oil a high pour point is generally associated with a high paraffin content, typically found in crude deriving from a larger proportion of plant material. (soure: https://en.wikipedia.org/wiki/pour_point)"	measurement value	{float} {unit}		X	degree Celsius	1	MIXS:0000127	
hydrocarbon resources-fluids/swabs	pour_point	pour point	"Temperature at which a liquid becomes semi solid and loses its flow characteristics. In crude oil a high pour point is generally associated with a high paraffin content, typically found in crude deriving from a larger proportion of plant material. (soure: https://en.wikipedia.org/wiki/pour_point)"	measurement value	{float} {unit}		X	degree Celsius	1	MIXS:0000127	
built environment	surf_moisture	surface moisture	Water held on a surface	measurement value	{float} {unit}	0.01 gram per square meter	E	"parts per million, gram per cubic meter, gram per square meter"	1	MIXS:0000128	
built environment	dew_point	dew point	"The temperature to which a given parcel of humid air must be cooled, at constant barometric pressure, for water vapor to condense into water."	measurement value	{float} {unit}	22 degree Celsius	X	degree Celsius	1	MIXS:0000129	
hydrocarbon resources-cores	saturates_pc	saturates wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000131	
hydrocarbon resources-fluids/swabs	saturates_pc	saturates wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000131	
hydrocarbon resources-cores	aromatics_pc	aromatics wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000133	
hydrocarbon resources-fluids/swabs	aromatics_pc	aromatics wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000133	
hydrocarbon resources-cores	resins_pc	resins wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000134	
hydrocarbon resources-fluids/swabs	resins_pc	resins wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000134	
hydrocarbon resources-cores	asphaltenes_pc	asphaltenes wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000135	
hydrocarbon resources-fluids/swabs	asphaltenes_pc	asphaltenes wt%	"Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	name;measurement value	{text};{float} {unit}		C	percent	1	MIXS:0000135	
hydrocarbon resources-fluids/swabs	samp_loc_corr_rate	corrosion rate at sample location	"Metal corrosion rate is the speed of metal deterioration due to environmental conditions. As environmental conditions change corrosion rates change accordingly. Therefore, long term corrosion rates are generally more informative than short term rates and for that reason they are preferred during reporting. In the case of suspected MIC, corrosion rate measurements at the time of sampling might provide insights into the involvement of certain microbial community members in MIC as well as potential microbial interplays"	measurement value range	{float} - {float} {unit}		C	millimeter per year	1	MIXS:0000136	
microbial mat/biofilm	glucosidase_act	glucosidase activity	Measurement of glucosidase activity	measurement value	{float} {unit}	5 mol per liter per hour	X	mol per liter per hour	1	MIXS:0000137	
sediment	glucosidase_act	glucosidase activity	Measurement of glucosidase activity	measurement value	{float} {unit}	5 mol per liter per hour	X	mol per liter per hour	1	MIXS:0000137	
water	glucosidase_act	glucosidase activity	Measurement of glucosidase activity	measurement value	{float} {unit}	5 mol per liter per hour	X	mol per liter per hour	1	MIXS:0000137	
hydrocarbon resources-cores	diss_iron	dissolved iron	Concentration of dissolved iron in the sample	measurement value	{float} {unit}		C	milligram per liter	1	MIXS:0000139	
hydrocarbon resources-fluids/swabs	diss_iron	dissolved iron	Concentration of dissolved iron in the sample	measurement value	{float} {unit}		C	milligram per liter	1	MIXS:0000139	
built environment	amount_light	amount of light	"The unit of illuminance and luminous emittance, measuring luminous flux per unit area"	measurement value	{float} {unit}		X	"lux, lumens per square meter"	1	MIXS:0000140	
built environment	avg_dew_point	average dew point	The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day	measurement value	{float} {unit}	25.5 degree Celsius	X	degree Celsius	1	MIXS:0000141	
